,chart,level
205,11298_master,13.3
206,11299_expert,12.0
207,11299_master,14.1
208,11300_expert,12.1
209,11300_master,14.3
210,11301_expert,11.8
211,11301_master,13.9
212,11302_expert,12.7
213,11302_master,14.6
214,11303_expert,11.8
215,11303_master,14.0
216,11304_expert,10.0
217,11304_master,13.3
218,11305_expert,12.0
219,11305_master,14.0
220,11306_expert,12.0
221,11306_master,14.5
222,11307_expert,12.2
223,11307_master,14.6
224,11308_expert,12.5
225,11308_master,13.7
226,11309_expert,11.4
227,11309_master,13.8
228,11310_expert,12.5
229,11310_master,14.4
230,11311_expert,13.0
231,11311_master,14.9
232,11364_expert,12.8
233,11364_master,14.7
234,11365_expert,10.7
235,11365_master,13.0
236,11374_expert,13.0
237,11374_master,14.7
238,11375_expert,10.7
239,11375_master,12.9
240,11376_expert,10.0
241,11376_master,13.0
242,11377_expert,11.7
243,11377_master,14.0
244,11378_expert,13.2
245,11378_master,14.5
246,11379_expert,13.7
247,11379_master,14.9
248,11380_expert,10.8
249,11380_master,13.4
250,11381_expert,10.5
251,11381_master,13.2
252,11382_expert,12.7
253,11382_master,14.1
254,11383_expert,11.0
255,11383_master,13.6
256,11384_expert,12.5
257,11384_master,13.9
258,11385_expert,12.0
259,11385_master,14.3
260,11386_expert,12.5
261,11386_master,14.3
262,11387_expert,11.5
263,11387_master,13.7
264,11388_expert,13.5
265,11388_master,14.8
266,11389_expert,12.9
267,11389_master,14.5
268,11390_expert,10.7
269,11390_master,13.6
270,11391_expert,12.9
271,11391_master,14.8
272,11392_expert,12.8
273,11392_master,14.7
274,11393_expert,12.0
275,11393_master,13.8
276,11394_expert,13.0
277,11394_master,14.9
278,11395_expert,10.8
279,11395_master,13.8
280,11445_expert,9.8
281,11445_master,13.7
282,11452_expert,10.5
283,11452_master,13.1
284,11453_expert,10.5
285,11453_master,13.8
286,11454_expert,10.7
287,11454_master,14.0
288,11455_expert,12.0
289,11455_master,13.7
290,11456_expert,11.0
291,11456_master,13.7
292,11457_expert,12.8
293,11457_master,14.6
294,11458_expert,12.7
295,11458_master,14.4
296,11459_expert,11.5
297,11459_master,13.7
298,11460_expert,10.9
299,11460_master,13.8
300,11461_expert,12.7
301,11461_master,14.4
302,11462_expert,12.9
303,11462_master,14.3
304,11463_expert,9.7
305,11463_master,13.2
306,11464_expert,10.2
307,11464_master,13.4
308,11465_expert,10.7
309,11465_master,13.5
310,11466_expert,11.7
311,11466_master,13.8
312,11467_expert,10.8
313,11467_master,14.0
314,11468_expert,11.0
315,11468_master,13.8
316,11469_expert,12.7
317,11469_master,14.3
318,11470_expert,13.2
319,11470_master,14.7
320,11523_expert,13.2
321,11523_master,14.6
322,11526_expert,10.5
323,11526_master,12.8
324,11527_expert,12.0
325,11527_master,13.8
326,11528_expert,12.0
327,11528_master,13.9
328,11529_expert,11.9
329,11529_master,13.9
330,11530_expert,12.9
331,11530_master,14.8
332,11532_expert,9.0
333,11532_master,12.8
334,11533_expert,11.0
335,11533_master,13.7
336,11534_expert,11.5
337,11534_master,14.0
338,11535_expert,11.8
339,11535_master,13.9
340,11536_expert,11.8
341,11536_master,13.9
342,11537_expert,12.5
343,11537_master,14.8
344,11538_expert,11.0
345,11538_master,13.3
346,11539_expert,10.8
347,11539_master,13.6
348,11540_expert,11.2
349,11540_master,13.5
350,11541_expert,10.7
351,11541_master,13.6
352,11542_expert,11.8
353,11542_master,13.8
354,11543_expert,10.9
355,11543_master,13.7
356,11544_expert,12.8
357,11544_master,14.6
358,11545_expert,10.7
359,11545_master,13.5
360,11546_expert,12.8
361,11546_master,14.3
362,11547_expert,12.5
363,11547_master,13.8
364,11548_expert,12.7
365,11548_master,14.6
366,11608_expert,10.0
367,11608_master,13.4
368,11609_expert,9.7
369,11609_master,13.2
370,11610_expert,11.5
371,11610_master,14.0
372,11611_expert,11.9
373,11611_master,14.3
374,11612_expert,12.8
375,11612_master,14.9
376,11613_expert,10.0
377,11613_master,13.5
378,11614_expert,9.8
379,11614_master,12.8
380,11615_expert,11.2
381,11615_master,13.5
382,11616_expert,11.0
383,11616_master,13.7
384,11617_expert,12.0
385,11617_master,13.8
386,11618_expert,12.8
387,11618_master,14.4
388,11619_expert,12.9
389,11619_master,14.7
390,11620_expert,11.9
391,11620_master,13.8
392,11621_expert,11.5
393,11621_master,13.7
394,11622_expert,9.2
395,11622_master,13.2
396,11623_expert,11.2
397,11623_master,13.4
398,11662_expert,13.7
399,11662_master,14.9
400,11663_expert,13.8
401,11663_master,14.7
402,11663_remaster,15.0
403,11669_expert,10.9
404,11669_master,13.6
405,11670_expert,10.0
406,11670_master,13.1
407,11671_expert,11.8
408,11671_master,13.9
409,11672_expert,12.9
410,11672_master,14.4
411,11673_expert,12.8
412,11673_master,14.6
413,11674_expert,11.0
414,11674_master,13.5
415,11675_expert,11.8
416,11675_master,14.2
417,11676_expert,11.2
418,11676_master,13.8
419,11677_expert,12.8
420,11677_master,14.5
421,11678_expert,11.8
422,11678_master,13.9
423,11679_expert,10.7
424,11679_master,13.7
425,11680_expert,10.5
426,11680_master,13.3
427,11681_expert,11.7
428,11681_master,14.3
429,11682_expert,10.8
430,11682_master,13.7
431,11683_expert,11.0
432,11683_master,13.5
433,11684_expert,12.5
434,11684_master,14.5
435,11685_expert,12.9
436,11685_master,14.8
437,116_expert,11.2
438,116_master,12.9
439,11736_expert,10.0
440,11736_master,13.0
441,11737_expert,11.0
442,11737_master,13.5
443,11738_expert,11.0
444,11738_master,13.8
445,11739_expert,11.7
446,11739_master,14.1
447,11740_expert,10.8
448,11740_master,13.7
449,11741_expert,13.0
450,11741_master,14.7
451,11742_expert,10.8
452,11742_master,13.4
453,11743_expert,11.3
454,11743_master,13.8
455,11744_expert,12.0
456,11744_master,14.4
457,11745_expert,13.4
458,11745_master,14.8
459,11746_expert,12.9
460,11746_master,14.8
461,11747_expert,10.7
462,11747_master,13.6
463,11748_expert,11.0
464,11748_master,13.2
465,11749_expert,12.4
466,11749_master,14.4
467,11750_expert,11.5
468,11750_master,13.9
469,11751_expert,11.7
470,11751_master,13.8
471,11752_expert,13.5
472,11752_master,14.7
473,11753_expert,13.5
474,11753_master,14.9
475,117_expert,12.0
476,117_master,13.7
477,11806_expert,12.2
478,11806_master,13.7
479,11807_expert,11.5
480,11807_master,13.8
481,11808_expert,11.2
482,11808_master,13.8
483,11809_expert,12.8
484,11809_master,14.6
485,11810_expert,12.6
486,11810_master,14.7
487,11811_expert,10.8
488,11811_master,13.7
489,11812_expert,11.5
490,11812_master,13.8
491,11813_expert,11.8
492,11813_master,14.2
493,11814_expert,12.9
494,11814_master,14.8
495,11815_expert,11.0
496,11815_master,14.1
497,11816_expert,11.2
498,11816_master,14.0
499,11817_expert,12.5
500,11817_master,13.9
501,11818_expert,13.1
502,11818_master,14.9
503,11820_expert,13.7
504,11820_master,14.9
505,11820_remaster,15.0
506,11821_expert,12.5
507,11821_master,14.0
508,11879_expert,13.7
509,11879_master,14.9
510,11880_expert,11.0
511,11880_master,13.7
512,11881_expert,11.7
513,11881_master,13.8
514,118_expert,10.0
515,118_master,12.4
516,119_expert,11.4
517,119_master,13.4
518,1235_expert,12.9
519,1235_master,14.5
520,1301_expert,12.5
521,1301_master,13.9
522,130_expert,12.1
523,130_master,13.7
524,131_expert,12.6
525,131_master,12.5
526,131_remaster,13.5
527,132_expert,13.1
528,132_master,13.7
529,133_expert,12.9
530,133_master,13.7
531,133_remaster,13.9
532,134_expert,11.7
533,134_master,13.2
534,134_remaster,13.4
535,135_expert,11.1
536,135_master,13.2
537,136_expert,12.7
538,136_master,13.7
539,137_expert,12.2
540,137_master,13.4
541,138_expert,11.4
542,138_master,13.4
543,139_expert,11.9
544,139_master,13.4
545,140_expert,11.1
546,140_master,13.3
547,141_expert,11.9
548,141_master,14.1
549,142_expert,13.0
550,142_master,13.3
551,143_expert,12.7
552,143_master,14.2
553,143_remaster,14.6
554,144_expert,11.3
555,144_master,13.3
556,144_remaster,13.7
557,145_expert,11.9
558,145_master,12.4
559,145_remaster,12.7
560,155_expert,10.9
561,155_master,13.2
562,155_remaster,12.9
563,159_expert,9.3
564,159_master,12.4
565,1736_expert,9.5
566,1736_master,13.2
567,1819_expert,12.5
568,1819_master,14.2
569,219_expert,11.2
570,219_master,13.6
571,219_remaster,14.3
572,226_expert,12.5
573,226_master,13.4
574,226_remaster,13.4
575,227_expert,13.1
576,227_master,14.2
577,227_remaster,14.8
578,228_expert,11.1
579,228_master,12.9
580,229_expert,9.8
581,229_master,12.6
582,230_expert,10.8
583,230_master,13.3
584,231_expert,11.8
585,231_master,13.2
586,232_expert,12.8
587,232_master,13.7
588,233_expert,12.2
589,233_master,14.4
590,234_expert,11.9
591,234_master,13.2
592,235_expert,12.6
593,235_master,14.1
594,236_expert,11.8
595,236_master,13.3
596,237_expert,9.7
597,237_master,12.8
598,238_expert,12.9
599,238_master,13.8
600,239_expert,12.8
601,239_master,14.4
602,239_remaster,14.0
603,240_expert,12.8
604,240_master,13.8
605,240_remaster,14.5
606,241_expert,10.9
607,241_master,12.5
608,242_expert,10.8
609,242_master,12.5
610,244_expert,10.5
611,244_master,13.0
612,246_expert,11.6
613,246_master,13.2
614,247_expert,10.8
615,247_master,13.4
616,247_remaster,13.7
617,248_expert,11.8
618,248_master,12.7
619,248_remaster,13.3
620,251_expert,10.9
621,251_master,13.0
622,252_expert,11.2
623,252_master,13.7
624,252_remaster,13.7
625,25_expert,9.3
626,25_master,11.4
627,260_expert,12.3
628,260_master,13.2
629,260_remaster,13.7
630,261_expert,12.1
631,261_master,13.8
632,261_remaster,14.2
633,262_expert,11.0
634,262_master,13.7
635,263_expert,11.7
636,263_master,13.3
637,264_expert,11.7
638,264_master,13.7
639,30_expert,8.8
640,30_master,12.6
641,31_expert,11.2
642,31_master,12.9
643,327_expert,9.8
644,327_master,13.5
645,328_expert,10.7
646,328_master,13.4
647,328_remaster,13.3
648,348_expert,12.9
649,348_master,14.5
650,349_expert,11.4
651,349_master,13.7
652,351_expert,10.7
653,351_master,13.2
654,35_expert,10.7
655,35_master,13.3
656,362_expert,10.8
657,362_master,12.9
658,363_expert,11.9
659,363_master,14.5
660,364_expert,11.9
661,364_master,13.8
662,364_remaster,13.5
663,365_expert,13.3
664,365_master,14.6
665,365_remaster,14.7
666,366_expert,12.0
667,366_master,13.7
668,367_expert,10.9
669,367_master,13.4
670,367_remaster,14.5
671,378_expert,11.2
672,378_master,13.2
673,378_remaster,13.7
674,379_expert,12.9
675,379_master,14.3
676,384_expert,11.9
677,384_master,14.7
678,403_expert,10.4
679,403_master,12.9
680,418_expert,9.9
681,418_master,12.9
682,421_expert,12.7
683,421_master,14.3
684,422_expert,11.7
685,422_master,13.8
686,431_expert,13.0
687,431_master,14.4
688,446_expert,11.9
689,446_master,13.9
690,456_expert,13.2
691,456_master,14.8
692,457_expert,10.9
693,457_master,12.7
694,458_expert,9.9
695,458_master,11.4
696,462_expert,11.8
697,462_master,14.4
698,463_expert,11.6
699,463_master,13.6
700,463_remaster,13.9
701,464_expert,12.7
702,464_master,13.8
703,464_remaster,14.4
704,465_expert,10.7
705,465_master,13.8
706,472_expert,10.9
707,472_master,13.5
708,472_remaster,14.0
709,488_expert,13.2
710,488_master,14.1
711,492_expert,12.9
712,492_master,14.0
713,493_expert,12.8
714,493_master,13.4
715,494_expert,12.9
716,494_master,14.5
717,495_expert,13.2
718,495_master,13.9
719,496_expert,13.6
720,496_master,14.7
721,496_remaster,14.5
722,529_expert,10.8
723,529_master,13.2
724,530_expert,11.7
725,530_master,13.8
726,531_expert,12.4
727,531_master,14.6
728,532_expert,10.7
729,532_master,12.4
730,532_remaster,12.9
731,533_expert,10.8
732,533_master,13.0
733,534_expert,12.0
734,534_master,14.0
735,559_expert,10.8
736,559_master,13.7
737,561_expert,11.5
738,561_master,13.7
739,564_expert,10.7
740,564_master,12.9
741,566_expert,13.3
742,566_master,14.0
743,567_expert,12.9
744,567_master,14.3
745,568_expert,11.7
746,568_master,14.0
747,571_expert,13.0
748,571_master,14.8
749,573_expert,12.5
750,573_master,13.9
751,574_expert,11.9
752,574_master,13.8
753,581_expert,13.0
754,581_master,14.5
755,589_expert,12.9
756,589_master,14.4
757,589_remaster,14.3
758,58_expert,11.2
759,58_master,13.0
760,58_remaster,13.4
761,613_expert,11.7
762,613_master,13.3
763,614_expert,11.5
764,614_master,13.7
765,617_expert,11.7
766,617_master,12.9
767,626_expert,11.4
768,626_master,13.5
769,629_expert,11.5
770,629_master,13.4
771,629_remaster,13.7
772,630_expert,11.8
773,630_master,13.4
774,631_expert,11.9
775,631_master,13.9
776,632_expert,12.9
777,632_master,14.0
778,642_expert,12.9
779,642_master,14.0
780,643_expert,13.0
781,643_master,14.8
782,664_expert,13.1
783,664_master,14.4
784,666_expert,11.9
785,666_master,13.9
786,673_expert,11.8
787,673_master,13.5
788,674_expert,10.6
789,674_master,13.3
790,680_expert,11.8
791,680_master,13.8
792,681_expert,12.4
793,681_master,13.5
794,68_expert,10.0
795,68_master,12.4
796,69_expert,12.3
797,69_master,12.5
798,704_expert,11.8
799,704_master,13.3
800,704_remaster,13.4
801,705_expert,12.5
802,705_master,13.9
803,70_expert,10.9
804,70_master,14.4
805,70_remaster,14.2
806,713_expert,11.8
807,713_master,12.9
808,737_expert,10.6
809,737_master,13.4
810,745_expert,12.6
811,745_master,13.9
812,746_expert,12.9
813,746_master,14.8
814,760_expert,12.7
815,760_master,14.1
816,773_expert,12.8
817,773_master,14.8
818,777_expert,12.7
819,777_master,14.3
820,777_remaster,13.8
821,799_expert,13.0
822,799_master,14.8
823,799_remaster,14.9
824,803_expert,12.9
825,803_master,14.3
826,803_remaster,14.9
827,812_expert,12.9
828,812_master,14.4
829,812_remaster,14.8
830,820_expert,12.7
831,820_master,14.0
832,820_remaster,14.5
833,825_expert,12.8
834,825_master,14.6
835,825_remaster,14.8
836,833_expert,13.4
837,833_master,14.8
838,833_remaster,14.9
839,834_expert,13.9
840,834_master,14.9
841,834_remaster,15.0
842,835_expert,10.2
843,835_master,13.4
844,854_expert,10.0
845,854_master,12.0
846,8_expert,10.2
847,8_master,12.4
848,9_expert,9.8
849,9_master,12.4
850,10044_expert,9.5
851,10044_master,12.8
852,100_expert,10.5
853,100_master,12.4
854,100_remaster,13.2
855,10122_expert,10.0
856,10122_master,13.0
857,10125_expert,9.3
858,10125_master,12.5
859,10146_expert,9.3
860,10146_master,12.8
861,10185_expert,9.0
862,10185_master,12.8
863,10187_expert,10.9
864,10187_master,13.3
865,10188_expert,10.0
866,10188_master,12.8
867,10190_expert,10.2
868,10190_master,13.1
869,10191_expert,11.3
870,10191_master,12.9
871,10193_expert,10.8
872,10193_master,13.4
873,101_expert,9.1
874,101_master,13.6
875,10256_expert,8.2
876,10256_master,11.2
877,10288_expert,9.4
878,10288_master,13.8
879,102_expert,11.1
880,102_master,12.7
881,10315_expert,9.5
882,10315_master,13.0
883,10316_expert,9.7
884,10316_master,12.9
885,10375_expert,10.5
886,10375_master,13.2
887,10411_expert,12.0
888,10411_master,14.5
889,10552_expert,9.8
890,10552_master,13.2
891,10690_expert,9.2
892,10690_master,12.7
893,106_expert,10.7
894,106_master,13.5
895,10706_expert,9.2
896,10706_master,11.2
897,107_expert,11.1
898,107_master,12.7
899,107_remaster,13.3
900,108_expert,8.5
901,108_master,12.4
902,109_expert,12.7
903,109_master,13.7
904,11034_expert,9.5
905,11034_master,12.4
906,11043_expert,8.8
907,11043_master,11.8
908,11044_expert,8.7
909,11044_master,11.9
910,11045_expert,9.3
911,11045_master,12.7
912,11046_expert,9.9
913,11046_master,12.5
914,11047_expert,9.7
915,11047_master,12.4
916,11050_expert,10.0
917,11050_master,12.6
918,11052_expert,10.3
919,11052_master,12.7
920,11058_expert,11.7
921,11058_master,13.3
922,11059_expert,11.3
923,11059_master,13.4
924,11060_expert,10.8
925,11060_master,12.7
926,11061_expert,9.2
927,11061_master,11.9
928,11067_expert,9.0
929,11067_master,12.7
930,11069_expert,9.7
931,11069_master,12.0
932,11070_expert,9.3
933,11070_master,12.0
934,11073_expert,10.3
935,11073_master,12.7
936,11078_expert,8.8
937,11078_master,12.5
938,11083_expert,9.8
939,11083_master,12.5
940,11084_expert,10.6
941,11084_master,12.9
942,11086_expert,9.2
943,11086_master,11.9
944,11087_expert,10.7
945,11087_master,12.8
946,11088_expert,9.3
947,11088_master,11.8
948,11121_expert,9.9
949,11121_master,12.9
950,11122_expert,10.4
951,11122_master,12.9
952,11123_expert,10.0
953,11123_master,12.6
954,11124_expert,9.8
955,11124_master,12.5
956,11125_expert,9.8
957,11125_master,12.9
958,11126_expert,10.0
959,11126_master,13.2
960,11127_expert,9.8
961,11127_master,12.8
962,11128_expert,10.2
963,11128_master,12.8
964,11129_expert,10.0
965,11129_master,13.2
966,11130_expert,9.8
967,11130_master,13.0
968,11131_expert,10.0
969,11131_master,12.8
970,11132_expert,9.8
971,11132_master,12.9
972,11133_expert,9.8
973,11133_master,12.4
974,11185_expert,10.2
975,11185_master,12.8
976,11186_expert,9.8
977,11186_master,13.2
978,11187_expert,8.8
979,11187_master,12.5
980,11188_expert,8.5
981,11188_master,13.4
982,11189_expert,9.9
983,11189_master,13.0
984,11190_expert,8.8
985,11190_master,11.8
986,11191_expert,8.7
987,11191_master,12.4
988,11192_expert,9.8
989,11192_master,12.9
990,11193_expert,10.5
991,11193_master,13.1
992,11194_expert,9.0
993,11194_master,12.7
994,11195_expert,10.7
995,11195_master,13.7
996,11197_expert,10.0
997,11197_master,13.2
998,11198_expert,9.0
999,11198_master,12.8
1000,11218_expert,9.0
1001,11218_master,12.8
1002,11258_expert,8.2
1003,11258_master,12.5
1004,11260_expert,8.8
1005,11260_master,12.7
1006,11261_expert,9.0
1007,11261_master,12.4
1008,11262_expert,9.2
1009,11262_master,12.8
1010,11263_expert,9.7
1011,11263_master,13.0
1012,11264_expert,8.7
1013,11264_master,12.5
1014,11265_expert,9.8
1015,11265_master,12.8
1016,11267_expert,9.8
1017,11267_master,13.2
1018,11268_expert,9.5
1019,11268_master,12.7
1020,11269_expert,9.8
1021,11269_master,12.8
1022,11270_expert,10.0
1023,11270_master,12.8
1024,11271_expert,8.8
1025,11271_master,12.2
1026,11272_expert,8.2
1027,11272_master,12.0
1028,11273_expert,9.8
1029,11273_master,12.8
1030,11274_expert,9.0
1031,11274_master,13.1
1032,11325_expert,9.8
1033,11325_master,11.8
1034,11325_remaster,12.8
1035,11327_expert,10.0
1036,11327_master,13.2
1037,11328_expert,12.5
1038,11328_master,14.2
1039,11337_expert,8.7
1040,11337_master,12.7
1041,11344_expert,10.0
1042,11344_master,12.9
1043,11345_expert,9.8
1044,11345_master,12.4
1045,11349_expert,10.2
1046,11349_master,13.1
1047,11350_expert,9.8
1048,11350_master,13.2
1049,11351_expert,10.0
1050,11351_master,13.0
1051,11353_expert,9.8
1052,11353_master,12.8
1053,11354_expert,10.2
1054,11354_master,13.4
1055,11355_expert,9.8
1056,11355_master,13.2
1057,11359_expert,10.0
1058,11359_master,13.0
1059,11360_expert,9.5
1060,11360_master,13.2
1061,11361_expert,8.8
1062,11361_master,12.8
1063,11371_expert,9.7
1064,11371_master,12.1
1065,11372_expert,9.8
1066,11372_master,12.8
1067,11410_expert,10.2
1068,11410_master,11.7
1069,11410_remaster,13.4
1070,11411_expert,9.7
1071,11411_master,13.0
1072,11412_expert,11.0
1073,11412_master,13.9
1074,11439_expert,10.0
1075,11439_master,12.9
1076,11441_expert,9.8
1077,11441_master,12.9
1078,11447_expert,10.5
1079,11447_master,13.8
1080,11448_expert,9.0
1081,11448_master,12.7
1082,11481_expert,10.8
1083,11481_master,13.1
1084,11482_expert,10.2
1085,11482_master,12.9
1086,11485_expert,9.8
1087,11485_master,11.5
1088,11485_remaster,13.3
1089,11486_expert,9.2
1090,11486_master,11.9
1091,11486_remaster,13.0
1092,11487_expert,9.0
1093,11487_master,13.0
1094,11492_expert,9.5
1095,11492_master,12.4
1096,11493_expert,10.0
1097,11493_master,12.8
1098,11494_expert,9.7
1099,11494_master,13.0
1100,11499_expert,9.8
1101,11499_master,13.2
1102,11500_expert,10.5
1103,11500_master,13.0
1104,11510_expert,9.8
1105,11510_master,12.8
1106,11511_expert,9.7
1107,11511_master,13.2
1108,11512_expert,11.6
1109,11512_master,13.7
1110,11513_expert,8.2
1111,11513_master,12.0
1112,11518_expert,10.0
1113,11518_master,13.2
1114,11519_expert,9.5
1115,11519_master,12.8
1116,11520_expert,8.5
1117,11520_master,12.7
1118,11521_expert,9.8
1119,11521_master,13.3
1120,11558_expert,8.7
1121,11558_master,11.7
1122,11558_remaster,13.3
1123,11559_expert,9.5
1124,11559_master,13.5
1125,11562_expert,8.8
1126,11562_master,11.5
1127,11562_remaster,13.5
1128,11563_expert,8.8
1129,11563_master,12.8
1130,11592_expert,8.8
1131,11592_master,12.2
1132,11593_expert,10.7
1133,11593_master,13.2
1134,11597_expert,10.0
1135,11597_master,13.1
1136,11598_expert,10.8
1137,11598_master,13.2
1138,11599_expert,9.8
1139,11599_master,12.7
1140,11600_expert,9.7
1141,11600_master,13.1
1142,11601_expert,9.5
1143,11601_master,13.2
1144,11602_expert,9.8
1145,11602_master,12.9
1146,11629_expert,10.2
1147,11629_master,12.1
1148,11629_remaster,13.9
1149,11630_expert,9.0
1150,11630_master,13.4
1151,11631_expert,10.8
1152,11631_master,13.7
1153,11637_expert,10.2
1154,11637_master,11.8
1155,11637_remaster,13.8
1156,11638_expert,11.9
1157,11638_master,13.8
1158,11645_expert,10.0
1159,11645_master,13.6
1160,11650_expert,10.8
1161,11650_master,13.1
1162,11651_expert,9.8
1163,11651_master,12.9
1164,11654_expert,9.8
1165,11654_master,13.3
1166,11655_expert,9.5
1167,11655_master,12.7
1168,11658_expert,10.0
1169,11658_master,12.8
1170,11659_expert,9.8
1171,11659_master,12.9
1172,11660_expert,10.8
1173,11660_master,12.9
1174,11665_expert,10.0
1175,11665_master,13.0
1176,11666_expert,9.7
1177,11666_master,12.8
1178,11667_expert,10.5
1179,11667_master,12.7
1180,11694_expert,9.7
1181,11694_master,12.6
1182,11695_expert,9.8
1183,11695_master,12.8
1184,11697_expert,9.8
1185,11697_master,11.8
1186,11697_remaster,13.3
1187,11698_expert,8.5
1188,11698_master,11.6
1189,11698_remaster,13.2
1190,11699_expert,10.7
1191,11699_master,13.6
1192,11700_expert,10.7
1193,11700_master,13.3
1194,11708_expert,11.5
1195,11708_master,13.4
1196,11709_expert,10.0
1197,11709_master,13.3
1198,11710_expert,10.7
1199,11710_master,13.7
1200,11711_expert,9.7
1201,11711_master,12.8
1202,11714_expert,9.7
1203,11714_master,12.8
1204,11715_expert,10.0
1205,11715_master,13.1
1206,11716_expert,11.0
1207,11716_master,13.6
1208,11727_expert,10.7
1209,11727_master,13.2
1210,11728_expert,11.0
1211,11728_master,13.1
1212,11729_expert,10.7
1213,11729_master,12.9
1214,11735_expert,9.8
1215,11735_master,12.7
1216,11761_expert,11.0
1217,11761_master,13.9
